,FILM,STARS,RATING,RT_NORM,RT__USER_NORM,META_NORM,META_USER_NORM,IMDB_NORM
0,Fifty Shades of Grey (2015),4.0,3.9,1.2,2.1,2.3,1.6,2.1
1,Jurassic World (2015),4.5,4.5,3.6,4.0,3.0,3.5,3.6
2,American Sniper (2015),5.0,4.8,3.6,4.2,3.6,3.3,3.7
3,Furious 7 (2015),5.0,4.8,4.0,4.2,3.4,3.4,3.7
4,Inside Out (2015),4.5,4.5,4.9,4.5,4.7,4.4,4.3
5,The Hobbit: The Battle of the Five Armies (2014),4.5,4.3,3.0,3.8,3.0,3.5,3.8
6,Kingsman: The Secret Service (2015),4.5,4.2,3.8,4.2,2.9,4.0,3.9
7,Minions (2015),4.0,4.0,2.7,2.6,2.8,2.8,3.4
8,Avengers: Age of Ultron (2015),5.0,4.5,3.7,4.3,3.3,3.6,3.9
9,Into the Woods (2014),3.5,3.4,3.6,2.5,3.4,3.0,3.0
10,Cinderella (2015),5.0,4.5,4.2,4.0,3.4,3.8,3.6
11,Ant-Man (2015),5.0,4.5,4.0,4.5,3.2,4.0,3.9
12,Mad Max: Fury Road (2015),4.5,4.3,4.8,4.4,4.4,4.4,4.2
13,San Andreas (2015),4.5,4.3,2.5,2.9,2.2,2.8,3.2
14,Unbroken (2014),4.5,4.1,2.6,3.5,3.0,3.2,3.6
15,Spy (2015),4.5,4.3,4.6,4.1,3.8,3.2,3.6
16,Magic Mike XXL (2015),4.5,4.4,3.1,3.2,3.0,2.7,3.2
17,Trainwreck (2015),4.5,4.1,4.2,3.7,3.8,3.0,3.4
18,Straight Outta Compton (2015),5.0,4.8,4.5,4.7,3.6,3.6,4.2
19,Tomorrowland (2015),4.0,3.7,2.5,2.6,3.0,3.2,3.3
20,The Imitation Game (2014),5.0,4.6,4.5,4.6,3.6,4.1,4.0
21,Home (2015),4.5,4.4,2.2,3.2,2.8,3.6,3.4
22,The Divergent Series: Insurgent (2015),4.5,4.2,1.5,3.0,2.1,2.7,3.2
23,Selma (2014),5.0,4.6,5.0,4.3,4.4,3.6,3.8
24,Annie (2014),4.5,4.2,1.4,3.0,1.6,2.4,2.6
25,Taken 3 (2015),4.5,4.1,0.4,2.3,1.3,2.3,3.0
26,The Wedding Ringer (2015),4.5,4.4,1.4,3.3,1.8,1.6,3.4
27,Ted 2 (2015),4.5,4.1,2.3,2.9,2.4,3.2,3.3
28,Fantastic Four (2015),3.0,2.7,0.4,1.0,1.4,1.2,2.0
29,Terminator Genisys (2015),4.5,4.2,1.3,3.0,1.9,3.2,3.4
30,Get Hard (2015),4.0,3.9,1.4,2.4,1.7,1.9,3.0
31,Southpaw (2015),5.0,4.6,3.0,4.0,2.8,4.1,3.9
32,Night at the Museum: Secret of the Tomb (2014),4.5,4.1,2.5,2.9,2.4,2.9,3.2
33,Focus (2015),4.0,3.9,2.8,2.7,2.8,3.1,3.3
34,Pitch Perfect 2 (2015),4.5,4.2,3.4,3.4,3.2,2.8,3.4
35,The SpongeBob Movie: Sponge Out of Water (2015),3.5,3.3,3.9,2.8,3.1,3.2,3.0
36,Entourage (2015),4.5,4.2,1.6,3.4,1.9,2.6,3.6
37,Birdman (2014),4.0,3.7,4.6,3.9,4.4,4.0,4.0
38,Jupiter Ascending (2015),3.5,3.4,1.3,2.0,2.0,2.2,2.8
39,Paddington (2015),4.5,4.3,4.9,4.0,3.8,4.1,3.6
40,Pixels (2015),4.5,4.1,0.8,2.7,1.4,2.6,2.8
41,Vacation (2015),4.0,3.8,1.4,2.8,1.7,3.1,3.2
42,Chappie (2015),4.0,3.8,1.5,2.8,2.0,3.7,3.5
43,Ex Machina (2015),4.5,4.1,4.6,4.3,3.9,4.0,3.8
44,Max (2015),4.5,4.5,1.8,3.6,2.4,3.0,3.5
45,"McFarland, USA (2015)",5.0,4.6,4.0,4.4,3.0,3.6,3.8
46,The Age of Adaline (2015),4.5,4.2,2.7,3.4,2.6,3.7,3.6
47,Insidious: Chapter 3 (2015),4.5,4.1,3.0,2.8,2.6,3.4,3.2
48,Top Five (2014),4.0,3.5,4.3,3.2,4.0,3.4,3.2
49,Paul Blart: Mall Cop 2 (2015),3.5,3.5,0.2,1.8,0.6,1.2,2.2
50,The Boy Next Door (2015),4.0,3.6,0.5,1.8,1.5,2.8,2.3
51,Poltergeist (2015),3.0,2.8,1.6,1.2,2.4,1.8,2.5
52,The Man From U.N.C.L.E. (2015),4.5,4.1,3.4,4.0,2.8,4.0,3.8
53,The Gift (2015),4.0,3.7,4.6,4.0,3.8,4.2,3.8
54,Hot Pursuit (2015),4.0,3.7,0.4,1.8,1.6,1.8,2.4
55,The Longest Ride (2015),4.5,4.5,1.6,3.6,1.6,2.4,3.6
56,Unfriended (2015),3.0,2.7,3.0,2.0,3.0,2.9,3.0
57,Woman in Gold (2015),4.5,4.4,2.6,4.0,2.6,3.6,3.7
58,Aloha (2015),3.5,3.1,1.0,1.6,2.0,2.0,2.8
59,The DUFF (2015),4.5,4.2,3.6,3.4,2.8,3.2,3.3
60,Dope (2015),4.5,4.3,4.4,4.3,3.6,3.6,3.8
61,It Follows (2015),3.0,2.9,4.8,3.2,4.2,3.8,3.4
62,Run All Night (2015),4.5,4.1,3.0,3.0,3.0,3.6,3.3
63,The Gallows (2015),3.0,2.9,0.8,1.4,1.5,3.5,2.2
64,The Second Best Exotic Marigold Hotel (2015),4.0,3.9,3.1,3.2,2.6,3.0,3.3
65,Black or White (2015),4.5,4.2,2.0,3.4,2.2,4.0,3.3
66,Project Almanac (2015),4.0,3.7,1.7,2.3,2.4,2.7,3.2
67,Do You Believe? (2015),5.0,4.5,0.9,4.2,1.1,2.4,2.7
68,Paper Towns (2015),4.0,3.8,2.8,2.8,2.8,3.1,3.4
69,The Lazarus Effect (2015),3.0,3.0,0.7,1.2,1.6,2.4,2.6
70,Big Eyes (2014),4.0,3.8,3.6,3.4,3.1,3.8,3.5
71,Ricki and the Flash (2015),4.0,3.7,3.2,2.6,2.7,3.5,3.1
72,Blackhat (2015),3.0,2.8,1.7,1.2,2.6,2.7,2.7
73,Self/less (2015),4.0,3.8,1.0,2.6,1.7,4.2,3.3
74,Mr. Holmes (2015),4.0,4.0,4.4,3.9,3.4,4.0,3.7
75,The Woman In Black 2 Angel of Death (2015),3.0,3.0,1.1,1.2,2.1,2.2,2.4
76,Still Alice (2015),4.5,4.1,4.4,4.2,3.6,3.9,3.8
77,Seventh Son (2015),3.5,3.2,0.6,1.8,1.5,2.0,2.8
78,Mortdecai (2015),3.5,3.2,0.6,1.5,1.4,1.6,2.8
79,Strange Magic (2015),3.5,3.4,0.8,2.5,1.2,2.6,2.8
80,Inherent Vice (2014),3.0,2.9,3.6,2.6,4.0,3.7,3.4
81,Hot Tub Time Machine 2 (2015),3.5,3.0,0.7,1.4,1.4,1.7,2.6
82,The Gunman (2015),3.5,3.4,0.8,1.7,2.0,2.2,2.9
83,Sinister 2 (2015),3.5,3.3,0.6,1.7,1.6,2.5,2.8
84,Hitman: Agent 47 (2015),4.0,3.9,0.4,2.4,1.4,1.6,3.0
85,Shaun the Sheep Movie (2015),4.5,4.0,5.0,4.1,4.0,4.4,3.7
86,Love & Mercy (2015),4.5,4.0,4.4,4.4,4.0,4.2,3.9
87,Unfinished Business (2015),3.5,3.2,0.6,1.4,1.6,1.9,2.7
88,The Loft (2015),4.0,3.6,0.6,2.0,1.2,1.2,3.2
89,Little Boy (2015),4.5,4.3,1.0,4.0,1.5,3.0,3.7
90,Far From The Madding Crowd (2015),4.5,4.0,4.2,3.8,3.6,3.8,3.6
91,Amy (2015),4.5,4.4,4.8,4.6,4.2,4.4,4.0
92,Monkey Kingdom (2015),4.5,4.2,4.7,3.8,3.6,3.8,3.6
93,A Most Violent Year (2014),3.5,3.4,4.5,3.4,4.0,3.5,3.6
94,American Ultra (2015),4.0,3.7,2.3,2.6,2.5,3.4,3.2
95,Me and Earl and The Dying Girl (2015),4.5,4.3,4.0,4.4,3.7,4.2,4.1
96,True Story (2015),3.5,3.2,2.2,2.0,2.5,2.8,3.2
97,Danny Collins (2015),4.0,4.0,3.8,3.8,2.9,3.6,3.6
98,Cake (2015),3.5,3.4,2.4,2.4,2.4,3.2,3.2
99,Spare Parts (2015),4.5,4.5,2.6,4.2,2.5,3.6,3.6
100,While We're Young (2015),3.0,2.9,4.2,2.6,3.8,3.4,3.2
101,The Water Diviner (2015),4.5,4.0,3.2,3.1,2.5,3.4,3.6
102,Child 44 (2015),4.0,3.7,1.3,2.2,2.0,2.6,3.2
103,Mr. Turner (2014),3.5,3.2,4.9,2.8,4.7,3.3,3.4
104,I'll See You In My Dreams (2015),4.0,3.6,4.7,3.5,3.8,3.4,3.4
105,What We Do in the Shadows (2015),4.5,4.3,4.8,4.3,3.8,4.2,3.8
106,Irrational Man (2015),4.0,3.5,2.1,2.6,2.6,3.8,3.4
107,Wild Tales (2014),4.5,4.1,4.8,4.6,3.8,4.4,4.1
108,Black Sea (2015),4.0,3.5,4.1,3.0,3.1,3.3,3.2
109,The Vatican Tapes (2015),3.0,2.9,0.6,1.0,1.8,2.7,2.3
110,'71 (2015),3.5,3.5,4.8,4.1,4.2,3.8,3.6
111,Clouds of Sils Maria (2015),3.5,3.4,4.4,3.4,3.9,3.6,3.4
112,Testament of Youth (2015),4.0,3.9,4.0,4.0,3.8,4.0,3.6
113,Infinitely Polar Bear (2015),4.0,3.9,4.0,3.8,3.2,4.0,3.6
114,The End of the Tour (2015),4.5,4.1,4.6,4.4,4.2,3.8,4.0
115,"Two Days, One Night (2014)",3.5,3.5,4.8,3.9,4.4,4.4,3.7
116,The Overnight (2015),3.5,3.3,4.1,3.2,3.2,4.3,3.4
117,The Last Five Years (2015),4.5,4.4,3.0,3.0,3.0,3.4,3.0
118,Maggie (2015),3.5,3.3,2.7,1.6,2.6,3.2,2.8
119,The Salt of the Earth (2015),4.5,4.3,4.8,4.5,4.2,3.9,4.2
120,A Little Chaos (2015),4.0,3.9,2.0,2.4,2.6,3.5,3.2
121,5 Flights Up (2015),4.0,3.6,2.6,2.4,2.8,3.4,3.0
122,Timbuktu (2015),4.0,3.6,5.0,3.9,4.6,3.4,3.6
123,Phoenix (2015),3.5,3.4,5.0,4.0,4.6,4.0,3.6
124,Song of the Sea (2014),4.5,4.3,5.0,4.6,4.3,4.1,4.1
125,The Wolfpack (2015),3.5,3.4,4.2,3.6,3.8,3.5,3.6
126,Leviathan (2014),4.0,3.5,5.0,4.0,4.6,3.6,3.8
127,The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),4.0,3.9,3.4,3.4,2.9,2.3,3.6
128,Gett: The Trial of Viviane Amsalem (2015),3.5,3.5,5.0,4.0,4.5,3.6,3.9
129,Welcome to Me (2015),4.0,3.6,3.6,2.4,3.4,3.4,3.0
130,Dark Places (2015),4.0,3.7,1.3,1.6,2.0,4.0,3.2
131,Red Army (2015),4.5,4.1,4.8,4.3,4.1,3.7,3.8
132,The Stanford Prison Experiment (2015),4.0,3.9,4.2,4.4,3.4,4.2,3.6
133,Serena (2015),3.0,3.0,0.9,1.2,1.8,2.6,2.7
134,Escobar: Paradise Lost (2015),4.0,3.9,2.6,2.6,2.8,3.4,3.3
135,When Marnie Was There (2015),4.5,4.1,4.4,4.4,3.6,3.2,3.9
136,Saint Laurent (2015),3.5,3.1,2.6,2.2,2.6,3.4,3.2
137,About Elly (2015),4.0,3.6,4.8,4.3,4.4,4.8,4.1
138,The Hunting Ground (2015),4.5,4.1,4.6,3.6,3.8,3.9,3.8
139,Seymour: An Introduction (2015),4.5,4.2,5.0,4.4,4.2,3.0,3.8
140,"Kumiko, The Treasure Hunter (2015)",3.5,3.5,4.4,3.2,3.4,3.2,3.4
141,The Diary of a Teenage Girl (2015),4.0,3.6,4.8,4.0,4.4,3.2,3.5
142,The Wrecking Crew (2015),4.5,4.2,4.6,4.2,3.4,3.5,3.9
143,Tangerine (2015),4.0,3.9,4.8,4.3,4.3,3.6,3.7
144,Maps to the Stars (2015),3.5,3.1,3.0,2.3,3.4,2.9,3.2
